cluster_id,size,cohesion_mean,cohesion_min,separation,nearest_cluster,persistence,origem,lote
311,14,0.825,0.5867,0.069,289.0,0.2814,2,
38,14,0.8429,0.7156,0.0982,35.0,0.0006,0,
39,14,0.883,0.8228,0.0854,59.0,0.0007,0,
191,14,0.7974,0.4477,0.1039,182.0,0.0001,0,
11,14,0.8518,0.6975,0.1554,33.0,0.0026,0,
196,14,0.881,0.8023,0.0793,211.0,0.0004,0,
211,14,0.8907,0.8015,0.0505,206.0,0.0,0,
189,14,0.8508,0.7417,0.0564,271.0,0.0001,0,
294,14,0.7633,0.6455,0.0886,252.0,0.4002,2,
291,14,0.8289,0.7135,0.0678,254.0,0.3941,2,
44,13,0.8591,0.7768,0.1187,43.0,0.0007,0,
117,13,0.8539,0.7765,0.157,110.0,0.0005,0,
258,13,0.8588,0.752,0.0582,163.0,0.0476,1,
90,13,0.8172,0.7182,0.1265,298.0,0.0002,0,
87,13,0.8641,0.7772,0.0979,262.0,0.0002,0,
213,13,0.8375,0.7322,0.1252,215.0,0.0008,0,
182,13,0.8658,0.7285,0.055,300.0,0.0,0,
53,13,0.8877,0.8033,0.0567,54.0,0.0003,0,
82,13,0.9154,0.8542,0.0582,232.0,0.0002,0,
120,13,0.8157,0.6956,0.1169,181.0,0.0002,0,
57,13,0.9142,0.8623,0.0947,58.0,0.0022,0,
132,13,0.855,0.684,0.1095,281.0,0.0006,0,
27,12,0.8507,0.7166,0.174,291.0,0.0007,0,
188,12,0.846,0.7707,0.0683,271.0,0.0004,0,
107,12,0.877,0.8258,0.1261,228.0,0.0003,0,
238,12,0.855,0.7346,0.0475,313.0,0.0647,1,
113,12,0.8835,0.827,0.1483,196.0,0.001,0,
115,12,0.8657,0.716,0.1165,128.0,0.001,0,
193,12,0.8727,0.7803,0.0584,260.0,0.0001,0,
116,12,0.8373,0.7537,0.111,281.0,0.0002,0,
185,12,0.8568,0.7549,0.1034,188.0,0.0001,0,
313,12,0.8047,0.6329,0.0475,238.0,0.5279,3,
301,12,0.8626,0.6562,0.0434,172.0,0.1739,2,
160,12,0.903,0.8422,0.0479,279.0,0.0002,0,
183,12,0.9138,0.8398,0.0352,259.0,0.0002,0,
273,12,0.8136,0.6955,0.0749,298.0,0.0142,1,
50,12,0.8766,0.8308,0.0928,89.0,0.0001,0,
141,12,0.9052,0.8546,0.0429,257.0,0.0002,0,
226,12,0.8513,0.711,0.0522,59.0,0.3327,1,
58,12,0.9341,0.9098,0.0821,233.0,0.001,0,
257,11,0.9108,0.8691,0.0184,178.0,0.0112,1,
118,11,0.9071,0.7987,0.059,135.0,0.0001,0,
10,11,0.8782,0.7644,0.1532,263.0,0.0014,0,
229,11,0.8509,0.7559,0.0366,24.0,0.243,1,
-1,11,,,,,,-1,
26,11,0.8589,0.7776,0.1107,290.0,0.0002,0,
237,11,0.8924,0.8303,0.0617,158.0,0.0601,1,
233,11,0.879,0.7692,0.0821,58.0,0.1297,1,
184,11,0.8801,0.8181,0.0838,305.0,0.0001,0,
159,11,0.8926,0.7801,0.071,160.0,0.0001,0,
92,11,0.829,0.6787,0.1319,242.0,0.0004,0,
169,11,0.922,0.8723,0.0463,187.0,0.0001,0,
277,11,0.8045,0.6838,0.1446,45.0,0.1095,1,
56,11,0.8861,0.8151,0.0626,55.0,0.0003,0,
190,10,0.8543,0.7837,0.1189,223.0,0.0001,0,
143,10,0.8415,0.7156,0.1374,306.0,0.0002,0,
224,10,0.7718,0.5641,0.2012,13.0,0.1131,1,
1,10,0.874,0.8,0.1847,2.0,0.0016,0,
181,10,0.882,0.7915,0.0766,180.0,0.0001,0,
135,10,0.9103,0.8866,0.059,118.0,0.0,0,
173,10,0.879,0.8395,0.0507,192.0,0.0001,0,
204,10,0.8548,0.7339,0.1024,311.0,0.0002,0,
252,10,0.8161,0.7336,0.0886,294.0,0.1148,1,
265,10,0.9019,0.8034,0.031,199.0,0.076,1,
318,10,0.8399,0.7734,0.1199,250.0,0.2156,3,
25,10,0.8768,0.8321,0.1109,229.0,0.0005,0,
308,10,0.8797,0.8293,0.066,208.0,0.1047,2,
299,10,0.8316,0.7205,0.0685,268.0,0.3665,2,
290,10,0.837,0.6946,0.0361,72.0,0.6409,2,
70,10,0.8179,0.7779,0.1323,294.0,0.0001,0,
79,10,0.8861,0.8385,0.0677,248.0,0.0003,0,
83,10,0.8739,0.767,0.127,119.0,0.0004,0,
89,10,0.8829,0.7871,0.063,262.0,0.0002,0,
108,10,0.8793,0.8153,0.1402,109.0,0.0003,0,
81,10,0.8936,0.7957,0.0757,82.0,0.0001,0,
103,9,0.8539,0.7428,0.255,264.0,0.0027,0,
85,9,0.8786,0.8362,0.0755,319.0,0.0001,0,
228,9,0.8857,0.8018,0.0547,139.0,0.064,1,
163,9,0.8906,0.8015,0.0492,164.0,0.0001,0,
129,9,0.869,0.8158,0.0839,314.0,0.0,0,
278,9,0.8939,0.8147,0.0384,162.0,0.1426,1,
288,9,0.8351,0.7715,0.0767,203.0,0.0054,1,
18,9,0.8121,0.7656,0.3195,51.0,0.0045,0,
275,9,0.8533,0.7788,0.0816,211.0,0.0802,1,
16,9,0.9261,0.8983,0.09,17.0,0.0015,0,
314,9,0.8118,0.7061,0.0839,129.0,0.5032,3,
287,9,0.8655,0.8103,0.0815,206.0,0.0022,1,
104,9,0.9195,0.8716,0.0647,263.0,0.0002,0,
122,9,0.8933,0.8255,0.0654,262.0,0.0005,0,
111,9,0.9041,0.8556,0.0661,295.0,0.0001,0,
146,9,0.909,0.8773,0.0544,145.0,0.0001,0,
130,8,0.9354,0.9229,0.053,131.0,0.0014,0,
304,8,0.8897,0.8314,0.0421,164.0,0.1279,2,
148,8,0.7984,0.6861,0.1961,147.0,0.0005,0,
30,8,0.841,0.798,0.1813,277.0,0.0005,0,
186,8,0.8868,0.8262,0.0347,187.0,0.0001,0,
283,8,0.9048,0.8463,0.057,208.0,0.0262,1,
29,8,0.854,0.8158,0.1604,314.0,0.0003,0,
22,8,0.877,0.7972,0.1535,73.0,0.0006,0,
20,8,0.8902,0.863,0.1181,293.0,0.0007,0,
12,8,0.8088,0.6936,0.2298,224.0,0.0002,0,
315,8,0.7946,0.6685,0.1012,167.0,0.2535,3,
3,8,0.8067,0.7269,0.1995,25.0,0.0011,0,
62,8,0.86,0.5951,0.0521,249.0,0.0,0,
68,8,0.8779,0.8418,0.1289,149.0,0.0002,0,
156,8,0.918,0.8817,0.0463,257.0,0.0001,0,
74,8,0.9364,0.8684,0.0378,73.0,0.0003,0,
106,8,0.8456,0.7898,0.1297,110.0,0.0002,0,
119,8,0.9096,0.8734,0.0522,259.0,0.0002,0,
255,8,0.8613,0.8158,0.0995,291.0,0.0106,1,
266,8,0.9039,0.8695,0.0359,200.0,0.0797,1,
231,8,0.8945,0.8337,0.0393,290.0,0.0773,1,
244,8,0.8894,0.8121,0.0613,164.0,0.0262,1,
93,8,0.8201,0.6747,0.1712,124.0,0.0004,0,
71,8,0.8826,0.8368,0.0781,217.0,0.0011,0,
270,8,0.8811,0.8075,0.1029,135.0,0.0237,1,
97,8,0.8856,0.848,0.0519,217.0,0.0,0,
230,8,0.8683,0.8101,0.0867,314.0,0.0624,1,
223,7,0.829,0.7096,0.1048,182.0,0.1336,1,
206,7,0.8819,0.7951,0.0505,211.0,0.0001,0,
247,7,0.8929,0.8344,0.0948,67.0,0.3658,1,
246,7,0.8948,0.788,0.0648,187.0,0.0273,1,
214,7,0.9357,0.9127,0.0586,215.0,0.0001,0,
269,7,0.8537,0.8086,0.1341,308.0,0.0294,1,
256,7,0.9357,0.9184,0.0313,178.0,0.0575,1,
274,7,0.8501,0.8035,0.0701,171.0,0.012,1,
264,7,0.8554,0.7782,0.108,104.0,0.18,1,
302,7,0.8425,0.7654,0.093,171.0,0.1541,2,
289,7,0.8417,0.7979,0.069,311.0,0.0078,1,
267,7,0.9018,0.8329,0.0948,299.0,0.0122,1,
0,7,0.9241,0.8423,0.3312,5.0,0.9258,0,
202,7,0.9147,0.8947,0.0731,284.0,0.0002,0,
35,7,0.8778,0.8512,0.088,59.0,0.0001,0,
134,7,0.9155,0.8581,0.0512,304.0,0.0002,0,
127,7,0.843,0.7333,0.0949,281.0,0.0,0,
124,7,0.818,0.7315,0.142,289.0,0.0004,0,
109,7,0.9047,0.865,0.0787,308.0,0.0001,0,
149,7,0.914,0.867,0.0757,195.0,0.0,0,
86,7,0.8612,0.8129,0.1181,85.0,0.0001,0,
151,7,0.9084,0.8638,0.0843,279.0,0.0001,0,
76,7,0.8778,0.8129,0.1687,75.0,0.0006,0,
60,7,0.9187,0.9095,0.092,35.0,0.0004,0,
52,7,0.8473,0.6586,0.1215,308.0,0.0002,0,
48,7,0.9222,0.8875,0.0971,279.0,0.0001,0,
47,7,0.9172,0.8243,0.0536,249.0,0.0003,0,
176,7,0.9016,0.8764,0.1164,188.0,0.0003,0,
36,7,0.8346,0.7039,0.1755,40.0,0.0005,0,
157,7,0.8974,0.8186,0.0865,166.0,0.0002,0,
4,7,0.8861,0.8185,0.2309,5.0,0.0052,0,
180,7,0.8924,0.8486,0.0766,181.0,0.0001,0,
198,7,0.8375,0.6992,0.0866,280.0,0.0001,0,
192,7,0.8846,0.7867,0.0507,173.0,0.0001,0,
14,7,0.8623,0.8235,0.1405,26.0,0.0001,0,
303,6,0.7999,0.7571,0.1403,185.0,0.1834,2,
98,6,0.8312,0.7102,0.1521,99.0,0.0,0,
91,6,0.9359,0.9075,0.0507,256.0,0.0002,0,
272,6,0.869,0.7868,0.1335,287.0,0.0195,1,
95,6,0.8473,0.7894,0.1021,302.0,0.0001,0,
6,6,0.9082,0.8423,0.0353,7.0,0.0012,0,
268,6,0.8862,0.8394,0.0685,299.0,0.087,1,
101,6,0.8575,0.7832,0.1111,252.0,0.0001,0,
5,6,0.9118,0.8614,0.23,17.0,0.0032,0,
126,6,0.847,0.8193,0.1232,273.0,0.0,0,
320,6,0.8134,0.7151,0.09,161.0,0.0155,3,
88,6,0.8555,0.804,0.112,235.0,0.0001,0,
276,6,0.8708,0.8221,0.1099,189.0,0.0421,1,
15,6,0.8656,0.7894,0.1994,14.0,0.0007,0,
40,6,0.7664,0.6771,0.1755,36.0,0.0001,0,
17,6,0.9315,0.8865,0.0755,232.0,0.0001,0,
73,6,0.9256,0.8637,0.0378,74.0,0.0,0,
63,6,0.8667,0.8223,0.1973,75.0,0.0005,0,
61,6,0.8916,0.8635,0.0784,62.0,0.0002,0,
285,6,0.9245,0.9005,0.0584,283.0,0.0151,1,
19,6,0.8848,0.8297,0.1045,182.0,0.0003,0,
59,6,0.8966,0.8076,0.0522,226.0,0.0,0,
133,6,0.8994,0.8282,0.0495,304.0,0.0002,0,
55,6,0.894,0.8616,0.0626,56.0,0.0,0,
306,6,0.9014,0.8676,0.0854,215.0,0.0135,2,
45,6,0.8374,0.8088,0.1446,277.0,0.0001,0,
34,6,0.8539,0.8309,0.1051,56.0,0.0004,0,
131,6,0.9204,0.8877,0.0498,123.0,0.0,0,
263,6,0.9145,0.888,0.05,112.0,0.0492,1,
254,6,0.8427,0.773,0.0678,291.0,0.0477,1,
137,6,0.9157,0.8984,0.1136,144.0,0.0003,0,
227,6,0.8713,0.8519,0.1628,143.0,0.1563,1,
154,6,0.8427,0.7625,0.153,260.0,0.0001,0,
232,6,0.9029,0.8641,0.0582,82.0,0.2558,1,
153,6,0.9315,0.9187,0.088,152.0,0.0,0,
234,6,0.8749,0.8458,0.0808,89.0,0.0153,1,
177,6,0.9071,0.8528,0.0549,313.0,0.0,0,
221,6,0.8155,0.7429,0.1865,222.0,0.0762,1,
150,6,0.8745,0.8233,0.1223,274.0,0.0001,0,
170,6,0.9313,0.895,0.0666,241.0,0.0,0,
225,6,0.9202,0.8936,0.0993,178.0,0.2832,1,
195,6,0.9326,0.9014,0.0432,194.0,0.0004,0,
248,6,0.865,0.819,0.0677,79.0,0.0017,1,
199,6,0.9149,0.8816,0.031,265.0,0.0001,0,
209,6,0.9065,0.8488,0.0574,210.0,0.0,0,
300,5,0.8991,0.8315,0.055,182.0,0.0496,2,
200,5,0.9318,0.9054,0.0359,266.0,0.0001,0,
175,5,0.8375,0.7735,0.2552,176.0,0.0,0,
296,5,0.8893,0.8642,0.0597,186.0,0.2441,2,
319,5,0.8418,0.8179,0.0755,85.0,0.0,3,
297,5,0.8524,0.8197,0.1411,276.0,0.0,2,
207,5,0.9274,0.9177,0.1481,282.0,0.0003,0,
316,5,0.7994,0.7451,0.1685,147.0,0.0147,3,
43,5,0.8878,0.8306,0.1187,44.0,0.0003,0,
197,5,0.8405,0.7528,0.0948,198.0,0.0,0,
194,5,0.9572,0.9503,0.0383,279.0,0.0001,0,
220,5,0.8821,0.8465,0.1494,262.0,0.1348,1,
219,5,0.8796,0.8326,0.1121,157.0,0.0218,1,
218,5,0.8699,0.8334,0.1308,318.0,0.0139,1,
212,5,0.9267,0.91,0.0438,284.0,0.0,0,
305,5,0.8837,0.8699,0.0838,184.0,0.0228,2,
32,5,0.8902,0.8607,0.0982,85.0,0.0001,0,
31,5,0.8915,0.8601,0.1204,217.0,0.0,0,
309,5,0.9168,0.8996,0.0508,131.0,0.0071,2,
310,5,0.8376,0.7577,0.2139,31.0,0.0973,2,
216,5,0.8312,0.7819,0.1934,125.0,0.0571,1,
155,5,0.933,0.9222,0.055,257.0,0.0,0,
292,5,0.8065,0.6467,0.1413,35.0,0.0361,2,
145,5,0.9342,0.905,0.0544,146.0,0.0,0,
251,5,0.8984,0.8739,0.1523,151.0,0.08,1,
250,5,0.9134,0.8838,0.0996,136.0,0.0,1,
125,5,0.8739,0.8519,0.1363,126.0,0.0001,0,
136,5,0.9056,0.8802,0.0725,135.0,0.0,0,
261,5,0.894,0.8447,0.0684,134.0,0.0087,1,
121,5,0.9088,0.8655,0.0665,122.0,0.0001,0,
205,5,0.9028,0.8838,0.104,204.0,0.0,0,
114,5,0.8916,0.8591,0.2037,219.0,0.0,0,
105,5,0.8465,0.8038,0.1398,281.0,0.0,0,
138,5,0.9478,0.9368,0.0575,139.0,0.0,0,
245,5,0.8571,0.8121,0.1657,271.0,0.0,1,
96,5,0.9335,0.903,0.0664,217.0,0.0,0,
243,5,0.9123,0.8742,0.1095,244.0,0.0805,1,
49,5,0.8713,0.793,0.1434,48.0,0.0001,0,
241,5,0.9278,0.9037,0.0587,169.0,0.0,1,
240,5,0.9043,0.8408,0.0736,144.0,0.0,1,
152,5,0.9004,0.8676,0.088,153.0,0.0,0,
78,5,0.9029,0.8913,0.0954,247.0,0.0001,0,
236,5,0.9115,0.8786,0.0741,187.0,0.0232,1,
235,5,0.8868,0.8325,0.097,53.0,0.0,1,
67,5,0.931,0.911,0.0715,79.0,0.0001,0,
66,5,0.8991,0.7812,0.3776,89.0,0.0003,0,
282,5,0.9287,0.915,0.0887,215.0,0.0294,1,
286,5,0.8742,0.8132,0.0868,208.0,0.0576,1,
253,5,0.8607,0.7889,0.1499,235.0,0.0184,1,
165,5,0.9061,0.8418,0.1048,166.0,0.0,0,
161,5,0.9455,0.924,0.0534,162.0,0.0001,0,
321,12,0.8484,0.6614,0.1772,30.0,,0,estudio
322,12,0.824,0.6713,0.0576,175.0,,0,estudio
323,14,0.8585,0.7082,0.2257,115.0,,0,estudio
324,10,0.8587,0.6878,0.284,281.0,,0,estudio
325,15,0.7489,0.4052,0.2967,4.0,,0,estudio
326,12,0.7852,0.5957,0.2228,315.0,,0,estudio
327,11,0.8233,0.7142,0.1122,33.0,,0,estudio
328,6,0.8831,0.8243,0.1731,17.0,,0,estudio
329,6,0.8981,0.8752,0.0996,11.0,,0,estudio
